A,B,diff_MAE,ci_low,ci_high,excludes_zero,verdict
R3,always_ML,0.20336878894664911,0.16989037428107154,0.23658724821126684,True,A worse
R2,always_ML,0.288596042569655,0.22708945423117682,0.36112453953959195,True,A worse
R1,always_ML,0.3048477754331307,0.24032929526195834,0.37279998747052673,True,A worse
R0,always_ML,0.1675763432270787,0.1479433792635734,0.1898955482385313,True,A worse
always_fallback,always_ML,0.8524271462259416,0.7777124676134055,0.9242610869948502,True,A worse
R3,R1,-0.10147898648648157,-0.16980892919127974,-0.033963470874775074,True,A better
R3,R2,-0.08522725362300587,-0.15795192339215725,-0.02268777691291672,True,A better
R3,R0,0.03579244571957041,0.0018785912570893127,0.06955702470937897,True,A worse
