A,B,diff_MAE,ci_low,ci_high,excludes_zero,verdict
R3,always_ML,0.25739226887281275,0.2092941727241404,0.31036828933559285,True,A worse
R2,always_ML,0.288596042569655,0.22708945423117682,0.36112453953959195,True,A worse
R1,always_ML,0.3048477754331307,0.24032929526195834,0.37279998747052673,True,A worse
R0,always_ML,0.1675763432270787,0.1479433792635734,0.1898955482385313,True,A worse
always_fallback,always_ML,0.8524271462259416,0.7777124676134055,0.9242610869948502,True,A worse
R3,R1,-0.04745550656031794,-0.09146264955463002,-0.002570974620250987,True,A better
R3,R2,-0.03120377369684224,-0.07320907012527389,0.009730490574836942,False,no detectable difference
R3,R0,0.08981592564573404,0.04695103893886517,0.13416544411585946,True,A worse
