rule,AURC,risk_at_80pct,risk_at_50pct,AURC_vs_R0
R0,3.4797035125588085,3.508338031707753,3.4823533130511173,0.0
R1,2.703029035030999,2.924362971974152,2.610147514599253,-0.7766744775278096
R2,2.9139052343792646,3.084538128472999,2.859421844704148,-0.5657982781795439
R3,3.269490489561867,3.305562119827842,3.24080633727474,-0.21021302299694167
oracle_sel,1.322837949028025,2.157942757067046,1.2068009790686067,-2.1568655635307836
