rule,MAE,RMSE,share_routed,mean_g_routed,share_routed_g_pos,MAE_vs_always_ML
always_ML,3.514154001626586,5.118496800862336,0.0,,,0.0
always_fallback,4.366581147852528,6.36767855888762,1.0,-0.8524271462259415,0.38955403522108195,0.8524271462259416
R0,3.6817303448536647,5.387290312821668,0.19998733054605347,-0.8379347970169999,0.38913525498891355,0.1675763432270787
R1,3.8190017770597167,5.8766760291589595,0.19998733054605347,-1.524335439653912,0.3858093126385809,0.3048477754331307
R2,3.802750044196241,5.84326921166305,0.19998733054605347,-1.4430716274959052,0.3867595818815331,0.288596042569655
R3,3.7715462704993987,5.62706515561375,0.19998733054605347,-1.2870428750162226,0.3801076971808679,0.25739226887281275
